,timestep (1d),Proton_density,Electron_density
461,2012-12-09T12:03:00,12.825,9.8997005
462,2012-12-10T00:03:00,6.7950001,5.3311043
463,2012-12-10T12:03:00,8.71,6.2072144
464,2012-12-11T00:03:00,9.8450003,6.51114
465,2012-12-11T12:03:00,8.3450003,7.2813429
466,2012-12-12T12:03:00,12.47,7.2155911
467,2012-12-13T00:03:00,9.8650002,9.4120092
468,2012-12-13T12:03:00,9.8300004,9.8595252
469,2012-12-14T00:03:00,13.75,8.7085466
470,2012-12-14T12:03:00,7.75,7.2967965
471,2012-12-15T00:03:00,8.6149998,8.3596036
472,2012-12-15T12:03:00,7.0800002,4.8408316
473,2012-12-16T00:03:00,8.02,6.0868659
474,2012-12-16T12:03:00,4.2,3.5730143
475,2012-12-17T00:03:00,7.9899998,5.8652936
476,2012-12-17T12:03:00,9.7599998,4.976717
477,2012-12-18T00:03:00,7.0500002,3.2519239
478,2012-12-18T12:03:00,4.1249999,3.000395
479,2012-12-19T00:03:00,4.2850001,2.1500705
480,2012-12-19T12:03:00,5.3050001,2.4314639
481,2012-12-20T00:03:00,5.0799999,3.0457017
482,2012-12-20T12:03:00,5.8400002,3.4861805
483,2012-12-21T00:03:00,1.84,1.2892139
484,2012-12-21T12:03:00,1.745,1.3414147
485,2012-12-22T00:03:00,1.84,1.7028957
486,2012-12-22T12:03:00,3.12,2.0581645
487,2012-12-23T00:03:00,4.14,3.11698
488,2012-12-23T12:03:00,7.9300001,5.0557107
489,2012-12-24T00:03:00,6.8400002,4.4979172
490,2012-12-24T12:03:00,6.2050002,4.8758101
491,2012-12-25T00:03:00,6.7750001,5.2982606
492,2012-12-25T12:03:00,8.6950002,5.8767319
493,2012-12-26T00:03:00,8.8850002,4.180474
494,2012-12-26T12:03:00,9.29,4.628433
495,2012-12-31T12:03:00,2.3299999,1.7834536
